2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', index=0, name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', index=0, name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', index=0, name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', index=0, name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', index=0, name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', index=0, name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', index=0, name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-07 15:08:41,176 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', index=0, name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-07 15:08:41,176 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', index=0, name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2026-08-07 15:08:41,176 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', index=0, name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
